Title,Author/s,Pub Year,Q1.2. Non-neuro Measurements,Q1.1. Neuro Measurement Instruments,Q2.2. Experimental Designs,Q2.1. Study Setting,Q2.3. participants - recruitments,Q2.4. Ethical considerations,Q2.5. Intrusiveness - devices,Facial ,Eye ,Heart ,Skin ,Blood ,EEG ,fMRI ,NIRS ,fNIR ,Total ,Facial,Eye,Heart,Skin,Blood,EEG,fMRI,NIRS,fNIR,knowledge,regulation,attention,load,skills,beliefs,emotions,habits,traits,Cognitive,Non-Cognitive,Meta-Cognitive,Report,performance,Intervention,feedback,Q2.7. Reproducibility,Q3.1. Psychological constructs,Q3.3. Reported outcomes (Purposes)
Insights from surgeons’ eye-movement data in a virtual simulation surgical training environment: effect o,"Menekse Dalveren, G.G.; Cagiltay, N.E.",2018,Behavioural,Eye(Pupil),Quasi-Experimental ,Laboratory,University medical students - Volunteered,Not mentioned,Low - Eye-tracker,,23,,,,,,,,23,,1,,,,,,,,,,,,1,,,,,1,,,1,,,,Algorithm : Available; Data set : Not  Accessible,Cognitive: skills,Performance Estimation (Monitoring)
Automated Detection of Engagement Using Video-Based Estimation of Facial Expressions and Heart Rate,"Monkaresi, H.; Bosch, N.; Calvo, R. A.; D'Mello, S. K.",2017,"Behavioural, Subjective","Facial, Heart",Pre- Experimental ,Laboratory,university undergraduate/postgraduate students - Not mentioned,"Consent form, University ethics committee approval",High - Multi-channel/electrodes devices,22,,22,,,,,,,22,1,,1,,,,,,,,,,,,,,1,,,1,,,,,1,Algorithm : Not available or explained; Data set : Not  Accessible, Non-Cognitive:habits and processes,Feedback/Notification (Feedback/Notification)
Utilizing sensor data to model students' creativity in a digital environment,"Muldner, K.; Burleson, W.",2015,"Behavioural, Subjective","Eye, Skin, EEG",Pre- Experimental ,Laboratory,University students recruited through fliers - Paid,Not mentioned,High - Multi-channel EEG sensors,,21,,19,,17,,,,21,,1,,1,,1,,,,,,,,,,,,1,,1,,1,,,,Algorithm : Not available or explained; Data set : Not  Accessible, Non-Cognitive : personality traits,Monitoring (Monitoring)
Correlation between precursor emotion and human stress by using EEG signals,"Nor, N.M.; Salleh, S.H.S.",2015,Subjective,EEG,Pre- Experimental ,Laboratory,Teachers - Not mentioned,Not mentioned,High - Multi-channel EEG sensors,,,,,,10,,,,10,,,,,,1,,,,,,,,,,1,,,,1,,1,,,,Algorithm : Not available or explained; Data set : Not  Accessible, Non-Cognitive: social and emotional qualities ,Monitoring (Monitoring)
Engaging with the scenario: Affect and facial patterns from a scenario-based intelligent tutoring system,"Nye, B.D.; Karumbaiah, S.; Tokel, S.T.; Core, M.G.; Stratou, G.; Auerbach, D.; Georgila, K.",2018,"Performance, Subjective",Facial,True-Experimental ,Laboratory,University students (Engineering) - Not mentioned,Not mentioned,Low - Camera,39,,,,,,,,,39,1,,,,,,,,,,,,,1,,1,,,1,1,,1,,,,Algorithm : Not available or explained; Data set : Not  Accessible,Cognitive:skills; Non-Cognitive: social and emotional qualities ,Feedback/Notification (Monitoring)
The effects of merging student emotion recognition with learning management systems on learners�,"Ozek, Muzeyyen Bulut",2018,"Performance, Subjective",Facial,Quasi-Experimental ,Laboratory,University students - Not mentioned,Not mentioned,Low - Camera,103,,,,,,,,,103,1,,,,,,,,,,,,,,,1,,,,1,,1,,,,Algorithm : Not available or explained; Data set : Not  Accessible, Non-Cognitive: social and emotional qualities ,Feedback/Notification (Monitoring)
Enhancing the professional vision of teachers: A physiological study of teaching analytics dashboards of students' repertory grid exercises in business education,"Pantazos, K.; Vatrapu, R.",2016,"Behavioural, Subjective",EEG ,Pre- Experimental ,Laboratory,University teachers - Not mentioned,Not mentioned,High - Multi-channel EEG sensors,,,,,,6,,,,6,,,,,,1,,,,,,,,,,1,,,,1,,1,,,,Algorithm : Not available or explained; Data set : Not  Accessible, Non-Cognitive: social and emotional qualities ,Adaptive system (Monitoring)
Automatic evaluation of presenters' discussion performance based on their heart rate,"Peng, S.; Nagao, K.",2018,"Performance, Subjective",Heart,Pre- Experimental ,Laboratory,Not mentioned,Not mentioned,Low - Wristband heart rate monitor,,,9,,,,,,,9,,,1,,,,,,,,,,,1,,,,,1,,,1,,,,Algorithm : Not available or explained; Data set : Not  Accessible,Cognitive : skills ,Performance Estimation (Monitoring)
AttentiveLearner: Improving Mobile MOOC Learning via Implicit Heart Rate Tracking,"Pham, Phuong; Wang, Jingtao",2015,"Performance, Subjective",Heart,Pre- Experimental ,Field,University graduate students - Not mentioned,Not mentioned,Low - Wristband heart rate monitor,,,24,,,,,,,24,,,1,,,,,,,,,1,,,,,,,1,,,1,,,,Algorithm : Not available or explained; Data set : Not  Accessible,Cognitive: attention,Performance Estimation (Monitoring)
Learning process and learning outcomes of video podcasts including the instructor and PPT slides: a Chinese case,"Pi, Z.; Hong, J.",2016,Performance,Eye,True-Experimental ,Laboratory,University  undergradute students  via advertisement - Paid with small gift,Consent form,Low - Eye-tracker,,94,,,,,,,,94,,1,,,,,,,,,,1,1,,,,,,1,,,1,,,,Algorithm : Not available or explained; Data set : Not  Accessible,"Cognitive: attention, cognitive load",Monitoring (Monitoring)
EEG in the classroom: Synchronised neural recordings during video presentation,"Poulsen, Andreas Trier; Kamronn, Simon; Dmochowski, Jacek; Parra, Lucas C.; Hansen, Lars Kai",2017,Subjective,EEG,True-Experimental ,Field,Not mentioned ,"Consent form, Code of ethics",High - Multi-channel EEG sensors,,,,,,33,,,,33,,,,,,1,,,,,,1,,,,,1,,1,1,,1,,,,Algorithm : Not available or explained; Data set : Not  Accessible,Cognitive: attention; Non-Cognitive:habits and processes,Monitoring (Monitoring)
Individual differences in resting-state brain rhythms uniquely predict second language learning rate and willingness to communicate in adults,"Prat, C.S.; Yamasaki, B.L.; Peterson, E.R.",2018,"Behavioural, Performance",EEG,Pre- Experimental ,Laboratory,Not mentioned - Paid,Consent form,High - Multi-channel EEG sensors,,,,,,41,,,,41,,,,,,1,,,,,,,,1,,,,,1,,,1,,,,Algorithm : Not available or explained; Data set : Not  Accessible,Cognitive: skills,Performance Estimation (Monitoring)
Orchestration Load Indicators and Patterns: In-the-Wild Studies Using Mobile Eye-Tracking,"Prieto, Luis P.; Link to external site, this link will open in a new window; Sharma, Kshitij; Kidzinski, Lukasz; Dillenbourg, Pierre",2018,Behavioural,Eye(Pupil),Pre- Experimental ,Field,Teachers,Not mentioned,Low - Eye-tracker,,4,,,,,,,,4,,1,,,,,,,,1,,,,,,,,,,,1,1,,,,Algorithm : Available; Data set :  Accessible,Meta-Cognitive: knowledge ,Monitoring (Monitoring)
Native-language N400 and P600 predict dissociable language-learning abilities in adults,"Qi, Zhenghan; Beach, Sara D.; Finn, Amy S.; Minas, Jennifer; Goetz, Calvin; Chan, Brian; Gabrieli, John D. E.",2017,Behavioural,EEG,Pre- Experimental ,Laboratory,Not mentioned - Paid,"Consent form, University ethics committee approval",High - Multi-channel EEG sensors,,,,,,38,,,,38,,,,,,1,,,,,,,,1,,,,,1,,,,1,,,Algorithm : Not available or explained; Data set : Not  Accessible,Cognitive: skills,Performance Estimation (Performance Estimation)
A personalized reading coach using wearable EEG sensors: A pilot study of brainwave learning analytics,"Qu, X.; Hall, M.; Sun, Y.; Sekuler, R.; Hickey, T.J.",2018,Behavioural,EEG,Pre- Experimental ,Laboratory,University students - Not mentioned,Consent form,High - Multi-channel EEG sensors,,,,,,10,,,,10,,,,,,1,,,,,,,,1,,,,,1,,,,,,1,Algorithm : Not available or explained; Data set : Not  Accessible,Cognitive: skills  ,Feedback/Notification (Feedback/Notification)
EEG markers of STEM learning,"Qu, X.; Sun, Y.; Sekuler, R.; Hickey, T.",2018,0,EEG,Quasi-Experimental ,Laboratory,University undergraduate/postgraduate students - Not mentioned,Consent form,High - Multi-channel EEG sensors,,,,,,13,,,,13,,,,,,1,,,,,,,,,,,1,,,1,,1,,,,Algorithm : Not available or explained; Data set : Not  Accessible, Non-Cognitive:habits and processes,Feedback/Notification (Monitoring)
Design and Implementation of Technology Enabled Affective Learning Using Fusion of Bio-physical and Facial Expression,"Ray, Arindam; Chakrabarti, Amlan",2016,Subjective,"Facial, Heart, Skin, Blood",Pre- Experimental ,Laboratory,University students and staffs - Not mentioned,Not mentioned,High - Multi-channel/electrodes devices,129,,129,129,129,,,,,129,1,,1,1,1,,,,,,,,,,,1,,,,1,,1,,,,Algorithm :  Explained; Data set : Not  Accessible, Non-Cognitive: social and emotional qualities ,Adaptive system (Monitoring)
Smart reading aid for detecting problems with reading fluency and comprehension,"Rusák, Z.; Van De Water, N.; De Smit, B.; ",2016,"Behavioural, Performance, Subjective","Eye(EOG), EEG",Pre- Experimental ,Laboratory,University students and staffs - Not mentioned,Not mentioned,High - Multi-channel EEG sensors,,25,,,,25,,,,25,,1,,,,1,,,,,,,,1,,,,,1,,,1,,,,Algorithm : Not available or explained; Data set : Not  Accessible,Cognitive : skills,Monitoring (Monitoring)
Using electroencephalogram signals to determine differences in brain functional connectivity during game-based problem solving task,"Samah, N.A.; Sha'Ameri, A.Z.; Daliman, S.; Safri, N.M.; Qusai, S.Z.",2018,0,EEG,Quasi-Experimental ,Laboratory,University undergraduate students - Volunteered,Consent form,High - Multi-channel EEG sensors,,,,,,30,,,,30,,,,,,1,,,,,,,,1,,,,,1,,,1,,,,Algorithm : Not available or explained; Data set : Not  Accessible,Cognitive : skills  ,Monitoring (Monitoring)
Impact of learner-centered affective dynamics on metacognitive judgements and performance in advanced learning technologies,"Sawyer, R.; Mudrick, N.V.; Azevedo, R.; Lester, J.",2018,"Performance, Subjective",Facial,Quasi-Experimental ,Laboratory,University students - Not mentioned,Not mentioned,Low - Camera,54,,,,,,,,,54,1,,,,,,,,,1,,,,,,1,,,,1,1,,1,,,Algorithm : Not available or explained; Data set : Not  Accessible, Non-Cognitive: social and emotional qualities; Meta-Cognitive : knowledge ,Performance Estimation (Performance Estimation)
Toward incorporating bio-signals in online education case of assessing student attention with BCI,"Serrhini, M.; Dargham, A.",2017,0,EEG,Pre- Experimental ,Laboratory,University students - Not mentioned,Not mentioned,Medium - Single-channel EEG sensor,,,,,,40,,,,40,,,,,,1,,,,,,1,,,,,,,1,,,,,,1,Algorithm : Not available or explained; Data set : Not  Accessible,Cognitive: attention,Feedback/Notification (Feedback/Notification)
EEG-Based Attention Feedback to Improve Focus in E-Learning,"Sethi, Chaitanya; Dabas, Harsh; Dua, Chirag; Dalawat, Mohit; Sethia, Divyashikha",2018,Performance,EEG,Pre- Experimental ,Laboratory,Not mentioned,Consent form,Medium - Single-channel EEG sensor,,,,,,42,,,,42,,,,,,1,,,,,,1,,,,,,,1,,,,,,1,Algorithm : Not available or explained; Data set : Not  Accessible,Cognitive: attention,Feedback/Notification (Feedback/Notification)
Part II: Survive with vuvu on the vaal electroencephalography results of a gameplay experience evaluation of a mobile serious game for statistics education,"Seugnet Blignaut, A.; Matthew, G.",2017,0,EEG,Pre- Experimental ,Laboratory,University students (1st year) - Volunteered,Code of ethics,High - Multi-channel EEG sensors,,,,,,16,,,,16,,,,,,1,,,,,,,,,,1,,,,1,,1,,,,Algorithm : Not available or explained; Data set : Not  Accessible, Non-Cognitive: social and emotional qualities ,Monitoring (Monitoring)
An investigation of university students’ attention levels in real classroom s,"Sezer, A.; İne",2015,Performance,EEG,Quasi-Experimental ,Field,University students (sophomores) - Not mentioned,Not mentioned,Medium - Single-channel EEG sensor,,,,,,21,,,,21,,,,,,1,,,,,,1,,,,,,,1,,,1,,,,Algorithm : Not available or explained; Data set : Not  Accessible,Cognitive: attention,Monitoring (Monitoring)
Analysis of air temperature changes on blood pressure and heart rate and performance of undergraduate students,"Siqueira, J.C.F.; Da Silva, L.B.; Coutinho, A.S.; Rodrigues, R.M.",2017,"Performance, Subjective","Heart, Blood",Pre- Experimental ,Field,University students - Volunteered,"Consent form, University ethics committee approval",Medium - Arm blood pressure monitor,,,28,,28,,,,,28,,,1,,1,,,,,,,,,1,,,,,1,,,1,,,,Algorithm : Not available or explained; Data set : Not  Accessible,Cognitive : skills,Monitoring (Monitoring)
Brain-computer interfaces for educational applications,"Spüler, M.; Krumpe, T.; Walter, C.; Scharinger, C.; Rosensti",2017,Performance,EEG,True-Experimental ,Laboratory,University students - Volunteered,Not mentioned,High - Multi-channel EEG sensors,,,,,,10,,,,10,,,,,,1,,,,,,,1,,,,,,1,,,1,,,,Algorithm : Not available or explained; Data set : Not  Accessible,Cognitive:cognitive load,Monitoring (Monitoring)
"Genetics with Jean: the design, development and evaluation of an affective tutoring system","Thompson, N.; McGill, T.J.",2017,"Performance, Subjective","Heart, Skin",True-Experimental ,Laboratory,"University students, adult learners and staffs  via Email ",University ethics committee approval,High - Multi-channel/electrodes devices,,,40,40,,,,,,40,,,1,1,,,,,,,,,,,,1,,,,1,,,,1,,Algorithm : Not available or explained; Data set : Not  Accessible, Non-Cognitive: social and emotional qualities ,Adaptive System (Adaptive System)
Development of effective ESP course design integrating analysis with near-infrared spectroscopy,"Tobita, R.",2017,Performance,NIRS,Pre- Experimental ,Laboratory,University undergraduate students - Not mentioned,Not mentioned,High - Multi-channel/electrodes devices,,,,,,,,10,,10,,,,,,,,1,,,,,,1,1,,,,1,1,,1,,,,Algorithm : Not available or explained; Data set : Not  Accessible,Cognitive : skills; Non-Cognitive : attitudes and beliefs ,Monitoring (Monitoring)
Predicting Learning from Student Affective Response to Tutor Questions,"Vail, Alexandria; F. Grafsgaard, Joseph; Elizabeth Boyer, Kristy; Wiebe, Eric; C. Lester, James",2016,"Behavioural, Performance","Facial, Skin ",Pre- Experimental ,Laboratory,University students - Not mentioned,Not mentioned,Medium - Galvanic skin response bracelet,67,,,67,,,,,,67,1,,,1,,,,,,,,,,1,,,,,1,,,1,,,,Algorithm : Not available or explained; Data set : Not  Accessible,Cognitive : skills ,Performance Estimation (Monitoring)
Using event-related potentials to inform the neurocognitive processes underlying knowledge extension through memory integration,"Varga, N.L.; Bauer, P.J.",2017,"Behavioural, Performance",EEG,Quasi-Experimental ,Laboratory,University students - Compensated with course credit.,"Consent form, University ethics committee approval",High - Multi-channel EEG sensors,,,,,,53,,,,53,,,,,,1,,,,1,,,,,,,,,,,1,1,,,,Algorithm : Not available or explained; Data set : Not  Accessible,   Meta-Cognitive : knowledge ,Monitoring (Monitoring)
An exploratory study using inexpensive electroencephalography (EEG) to understand flow experience in computer-based instruction,"Wang, Chih-Chien; Hsu, Ming-Chang",2014,"Performance, Subjective",EEG,Quasi-Experimental ,Laboratory,University undergraduate/postgraduate students - Paid reward,Consent form,Medium - Single-channel EEG sensor,,,,,,20,,,,20,,,,,,1,,,,,,,,1,,,,,1,,,1,,,,Algorithm : Not available or explained; Data set : Not  Accessible,Cognitive : skills  ,Performance Estimation (Monitoring)
Brain networks for exploration decisions utilizing distinct modeled information types during contextual learning,"Wang, Jane X.; Voss, Joel L.",2014,"Behavioural, Performance",fMRI,Quasi-Experimental ,Laboratory,Not mentioned,"Consent form, University ethics committee approval",High - fMRI,,,,,,,15,,,15,,,,,,,1,,,,1,,,,,,,,,,1,1,,,,Algorithm : Not available or explained; Data set : Not  Accessible, Meta-Cognitive :  self-regulation ,Monitoring (Monitoring)
BNU-LSVED 2.0: Spontaneous multimodal student affect database with multi-dimensional labels,"Wei, Qinglan; Sun, Bo; He, Jun; Yu, Lejun",2017,"Behavioural, Subjective",Facial,Quasi-Experimental ,Field,University students - Not mentioned,Consent form,Low - Camera,81,,,,,,,,,81,1,,,,,,,,,,,,,,,1,,,,1,,1,,,,Algorithm : Not available or explained; Data set :  Accessible, Non-Cognitive: social and emotional qualities ,Monitoring (Monitoring)
The Faces of Engagement: Automatic Recognition of Student Engagementfrom Facial Expressions,"Whitehill, J.; Serpell, Z.; Lin, Y.; Foster, A.; Movellan, J. R.",2014,"Performance, Subjective",Facial,Pre- Experimental ,Laboratory,University undergraduate students - Not mentioned,Consent form,Low - Camera,34,,,,,,,,,34,1,,,,,,,,,,,,,,,,1,,,1,,1,,,,Algorithm : Not available or explained; Data set : Not  Accessible, Non-Cognitive:habits and processes,Performance Estimation (Monitoring)
Tracking reading strategy utilisation through pupillometry,"Wong, A.Y.; Moss, J.; Schunn, C.D.",2016,Performance,Eye,Quasi-Experimental ,Laboratory,University students - Paid,Not mentioned,Low - Eye-tracker,,22,,,,,,,,22,,1,,,,,,,,,1,,,,,,,,,,1,1,,,,Algorithm : Not available or explained; Data set : Not  Accessible, Meta-Cognitive :  self-regulation ,Performance Estimation (Monitoring)
New technology for developing facial expression recognition in e-learning,"Wu, C.-H.",2017,0,Facial,Pre- Experimental ,Laboratory,Database Japanese female models,Not mentioned,Low - Camera,10,,,,,,,,,10,1,,,,,,,,,,,,,,,1,,,,1,,1,,,,Algorithm : Not available or explained; Data set :  Accessible, Non-Cognitive: social and emotional qualities ,Monitoring (Monitoring)
Understanding the relationship between physiological signals and digital game-based learning outcome,"Wu, Chih-Hung; Tzeng, Yi-Lin; Huang, Yueh Min",2014,"Behavioural, Performance","Heart, EEG",True-Experimental ,Laboratory,University students - Not mentioned,Not mentioned,Medium - Single-channel EEG sensor,,,32,,,32,,,,32,,,1,,,1,,,,,,1,1,,,1,,,1,1,,1,,,,Algorithm : Not available or explained; Data set : Not  Accessible,"Cognitive: attention, cognitive load; Non-Cognitive: social and emotional qualities ",performance estimation (Monitoring)
Examining creativity through a virtual reality support system,"Yang, X.; Lin, L.; Cheng, P.-Y.; Yang, X.; Ren, Y.; Huang, Y.-M.",2018,Subjective,EEG,True-Experimental ,Laboratory,University undergraduate students via the word of mouth and flyers posted,"Consent form, University ethics committee approval",Medium - Single-channel EEG sensor,,,,,,60,,,,60,,,,,,1,,,,,,1,,,,,,1,1,1,,1,,,,Algorithm : Not available or explained; Data set : Not  Accessible,Cognitive: attention ; Non-Cognitive : personality traits,performance estimation (Monitoring)
Learn Piano with BACh: An Adaptive Learning Interface That Adjusts Task Difficulty Based on Brain State,"Yuksel, Beste F.; Oleson, Kurt B.; Harrison, Lane; Peck, Evan M.; Afergan, Daniel; Chang, Remco; Jacob, Robert JK",2016,"Performance, Subjective",fNIR,Quasi-Experimental ,Laboratory,Not mentioned - Paid,Not mentioned,High - Multi-channel/electrodes devices,,,,,,,,,16,16,,,,,,,,,1,,,,1,,,,,,1,,,,,1,,Algorithm : Not available or explained; Data set : Not  Accessible,Cognitive:cognitive load ,Adaptive system (Adaptive System)
The effects of biofeedback‐based stimulated recall on sel,"Zhai, Xuesong; Link to external site, this link will open in a new window; Fang, Qiansheng; Dong, Yan; Wei, Zhihui; Yuan, Jing; Cacciolatti, Luca; Yang, Yalong",2018,"Behavioural, Performance, Subjective",EEG ,Quasi-Experimental ,Laboratory,University students - Not mentioned,Not mentioned,Medium - Single-channel EEG sensor,,,,,,54,,,,54,,,,,,1,,,,,,,,1,,,,,1,,,,,,1,Algorithm : Not available or explained; Data set : Not  Accessible,Cognitive : skills  ,Feedback/Notification (Feedback/Notification)
Automatic Detection of Mind Wandering Using Mobile Device In the Scenario of Online and Mobile Education,"Zhang, Cheng-lu; Shen, Rui-min",2017,"Behavioural, Subjective",Eye(Pupil),Pre- Experimental ,Laboratory,University undergraduate students - Not mentioned  ,Not mentioned,Low - Camera,,30,,,,,,,,30,,1,,,,,,,,,,1,,,,,,,1,,,1,,,,Algorithm :  Explained; Data set : Not  Accessible,Cognitive: attention,Monitoring (Monitoring)
A cognitive study of college students’ english vo,"Zhang, Z.",2018,"Behavioural, Performance",EEG,Pre- Experimental ,Laboratory,University students - Not mentioned,Not mentioned,High - Multi-channel EEG sensors,,,,,,17,,,,17,,,,,,1,,,,,,,,1,,,,,1,,,1,,,,Algorithm : Not available or explained; Data set : Not  Accessible,Cognitive : skills ,Monitoring (Monitoring)
Eye tracking technology for assessment of electronic hybrid text perception by students,"Zlokazov, K.; Voroshilova, M.; Pirozhkova, I.; Lapenok, M.V.",2017,"Behavioural, Performance","Eye(Blink, Pupil)",Pre- Experimental ,Laboratory,Not mentioned,Not mentioned,Low - Eye-tracker,,20,,,,,,,,20,,1,,,,,,,,,,,,1,,1,,,1,1,,1,,,,Algorithm : Not available or explained; Data set : Not  Accessible,Cognitive : skills; Non-Cognitive: social and emotional qualities ,Adaptive system (Monitoring)
